"","fire","crew","date","plot.no","basal.area.mortality","no.dead.trees","large.regen.plot","saplings","median.sapling.height","native.shrub.cover","native.herb.cover","dominant.shrub.herb","median.shrub.height","nearest.tree","photo.id","notes","Easting","Northing","BurnClass","plot_area_ha","sapling_density_ha"
"1","crater","AB,SK",2019-09-03,3,100,"2","YES",0,"0","40","5","AB, RR","80","25","CI3",NA,326100,4197000,"Low",0.05,0
"2","crater","AB,SK",2019-09-03,7,100,"7","NO",3,"2.5","25","15","RR","90","47","CI7",NA,326300,4197000,"High",0.09,33.3333333333333
"3","crater","AB,SK",2019-09-05,8,100,"5","YES",1,"2.5","15","65","STHY","100","165","CI8",NA,326450,4197000,"High",0.05,20
"4","crater","AB,SK",2019-09-05,9,100,"11","YES",0,"0","40","40","RR","80","171","CI9",NA,326500,4197000,"High",0.05,0
"5","crater","AB,SK",2019-09-05,11,100,"16","YES",0,"0","1","70","STHY","90","114","CI11",NA,326600,4197000,"High",0.05,0
"6","crater","AB,SK",2019-09-05,12,100,"10","YES",0,"0","2","75","STHY","140","65","CI12",NA,326650,4197000,"High",0.05,0
"7","crater","AB,SK",2019-09-05,13,100,"5","YES",1,"5","10","65","STHY","140","24","CI13",NA,326700,4197000,"High",0.05,20
"8","crater","AB,SK",2019-09-05,14,100,"9","YES",2,"5","2","70","STHY","125","21","CI14",NA,326750,4197000,"High",0.05,40
"9","crater","AB,SK",2019-09-03,15,75,"3","NO",16,"2.5","10","3","AB","130","8","CI15",NA,326000,4196950,"Low",0.09,177.777777777778
"10","crater","AB,SK",2019-09-03,17,100,"2","YES",1,"2.5","15","15","STHY","120","19","CI17",NA,326100,4196950,"Moderate",0.05,20
"11","crater","AB,SK",2019-09-03,18,100,"3","YES",1,"2","25","50","AB, STHY","120","20","CI18",NA,326150,4196950,"Moderate",0.05,20
"12","crater","AB,SK",2019-09-03,20,100,"7","YES",1,"3","15","55","STHY","130","26","CI20",NA,326250,4196950,"High",0.05,20
"13","crater","AB,SK",2019-09-03,21,100,"11","YES",1,"4","15","50","AB","145","53","CI21",NA,326300,4196950,"High",0.05,20
"14","crater","AB,SK",2019-09-05,22,100,"4","YES",0,"0","25","65","STHY","70","149","CI22",NA,326450,4196950,"High",0.05,0
"15","crater","AB,SK",2019-09-05,23,100,"4","YES",0,"0","25","60","AB, RR","145","119","CI23",NA,326500,4196950,"High",0.05,0
"16","crater","AB,SK",2019-09-05,24,100,"8","YES",1,"3.5","15","75","STHY","65","109","CI24",NA,326550,4196950,"High",0.05,20
"17","crater","AB,SK",2019-09-05,25,100,"14","YES",0,"0","5","70","STHY","65","82","CI25",NA,326600,4196950,"High",0.05,0
"18","crater","AB,SK",2019-09-05,26,100,"8","YES",0,"0","1","80","STOC","65","67","CI26",NA,326650,4196950,"High",0.05,0
"19","crater","AB,SK",2019-09-05,27,100,"16","YES",1,"4.5","1","80","GADI, STHY","150","30","CI27",NA,326700,4196950,"High",0.05,20
"20","crater","AB,SK",2019-09-05,28,100,"5","YES",2,"2.5","0.5","80","STHY","65","47","CI28",NA,326750,4196950,"High",0.05,40
"21","crater","AB,SK",2019-09-03,31,100,"1","NO",5,"2","15","2","AB","130","17","CI31",NA,326100,4196900,"High",0.09,55.5555555555556
"22","crater","AB,SK",2019-09-03,32,100,"1","YES",1,"3","20","5","AB","120","23","CI32",NA,326150,4196900,"High",0.05,20
"23","crater","AB,SK",2019-09-03,33,100,"5","NO",4,"2","15","45","STHY","135","33","CI33",NA,326200,4196900,"High",0.09,44.4444444444444
"24","crater","AB,SK",2019-09-03,34,100,"3","NO",4,"3.5","15","15","AB","140","67","CI34",NA,326250,4196900,"High",0.09,44.4444444444444
"25","crater","AB,SK",2019-09-03,35,100,"2","YES",1,"3.5","20","65","STOC","135","85","CI35",NA,326300,4196900,"High",0.05,20
"26","crater","AB,SK",2019-09-05,36,100,"7","YES",0,"0","30","55","RR, GADI","130","119","CI36",NA,326450,4196900,"High",0.05,0
"27","crater","AB,SK",2019-09-05,38,100,"2","YES",0,"0","40","50","AB","140","61","CI38",NA,326550,4196900,"High",0.05,0
"28","crater","AB,SK",2019-09-05,39,100,"12","YES",0,"0","30","60","AB, RR","135","52","CI39",NA,326600,4196900,"High",0.05,0
"29","crater","AB,SK",2019-09-05,40,100,"11","YES",0,"0","0.5","85","STCO","120","19","CI40",NA,326650,4196900,"High",0.05,0
"30","crater","AB,SK",2019-09-05,41,100,"6","YES",0,"0","4","70","STHY","140","44","CI41",NA,326700,4196900,"High",0.05,0
"31","crater","AB,SK",2019-09-05,42,100,"6","YES",0,"0","2","85","GADI, GRUNK5","95","80","CI42",NA,326750,4196900,"High",0.05,0
"32","crater","AB,SK",2019-09-03,45,100,"1","YES",1,"3","15","35","STHY","90","37","CI45",NA,326100,4196850,"High",0.05,20
"33","crater","AB,SK",2019-09-03,46,100,"7","NO",5,"2","40","35","AB, RR","120","37","CI46",NA,326150,4196850,"High",0.09,55.5555555555556
"34","crater","AB,SK",2019-09-03,47,100,"4","YES",2,"2.5","20","50","STHY","160","73","CI47",NA,326200,4196850,"High",0.05,40
"35","crater","AB,SK",2019-09-03,48,100,"1","YES",2,"2.5","15","55","STOC","70","104","CI48",NA,326250,4196850,"High",0.05,40
"36","crater","AB,SK",2019-09-03,49,100,"4","YES",1,"3.5","5","55","STHY","55","129","CI49",NA,326300,4196850,"High",0.05,20
"37","crater","AB,SK",2019-09-05,50,100,"1","YES",0,"0","35","50","AB, RR","150","100","CI50",NA,326450,4196850,"High",0.05,0
"38","crater","AB,SK",2019-09-05,51,100,"4","YES",0,"0","10","65","STHY","115","51","CI51",NA,326500,4196850,"High",0.05,0
"39","crater","AB,SK",2019-09-05,53,100,"4","YES",5,"3","25","60","RR, STOC","95","25","CI53",NA,326600,4196850,"High",0.05,100
"40","crater","AB,SK",2019-09-05,54,100,"8","YES",0,"0","10","75","STHY","70","33","CI54",NA,326650,4196850,"High",0.05,0
"41","crater","AB,SK",2019-09-05,55,100,"3","YES",0,"0","0.5","75","GADI","85","21","CI55",NA,326700,4196850,"High",0.05,0
"42","crater","AB,SK",2019-09-05,56,100,"10","YES",2,"5","0.5","70","GADI","25","53","CI56",NA,326750,4196850,"High",0.05,40
"43","crater","AB,SK",2019-09-03,58,75,"3","NO",5,"2","5","1","AB, RR","100","2","CI58",NA,326050,4196800,"Moderate",0.09,55.5555555555556
"44","crater","AB,SK",2019-09-03,60,100,"5","YES",2,"2.5","15","45","STHY","85","18","CI60",NA,326150,4196800,"Moderate",0.05,40
"45","crater","AB,SK",2019-09-03,61,100,"15","YES",7,"3","20","45","BS","165","39","CI61",NA,326200,4196800,"High",0.05,140
"46","crater","AB,SK",2019-09-03,62,100,"26","NO",3,"3","5","60","GADI","160","87","CI62",NA,326250,4196800,"High",0.09,33.3333333333333
"47","crater","AB,SK",2019-09-03,63,100,"6","YES",0,"0","0.5","60","STHY","45","135","CI63",NA,326300,4196800,"High",0.05,0
